id,name,courtesy_name,style_name,dynasty_tier,dynasty_tiers,dynasty,birth_year,death_year,index_year,category,degree
16428,狄黑,,,春秋战国,春秋战国、秦汉,漢前,0,0,0,學者,2
16622,劉邦,,,秦汉,秦汉、春秋战国,西漢,-256,-195,-256,政治家,2
17029,方干,雄飛,玄英處士,隋唐,隋唐,唐,809,888,809,文學家,12
17364,管仲,,,春秋战国,春秋战国、秦汉,漢前,0,0,0,文人,1
17389,鮑叔牙,,,春秋战国,春秋战国、秦汉,漢前,0,0,0,文人,1
17690,趙孟頫,子昂,三寶弟子、在家道人、天水松雪翁、天水王孫、太上弟子、敢死軍醫人、昂翁、松雪道人、松雪齋、水晶宮道人、水精宫道人、甲寅人、趙吳興、趙學士、趙承旨、趙松雪、趙榮祿、趙王孫、趙集賢、趙魏國、趙鷗波、鷗波,元,元、宋,元,1254,1322,1254,文學家,83
17851,唐厲,,,秦汉,秦汉,西漢,0,0,0,政治家,2
19123,文天祥,天祥、宋瑞、宋端、履善,文山,宋,宋、元,宋,1236,1283,1236,文學家,24
19244,李隆基（唐玄宗）,,,隋唐,隋唐,唐,685,762,685,文學家,22
20608,孫策,,,秦汉,秦汉,東漢,175,200,175,政治家,2
20609,孫權,,,魏晋南北朝,魏晋南北朝、秦汉,三國吳,182,252,182,政治家,4
20613,丁覽,,,魏晋南北朝,魏晋南北朝、秦汉,三國吳,0,0,0,政治家,2
21194,杜牧,牧之,,隋唐,隋唐,唐,803,853,803,文學家,10
21205,司馬孚,,,魏晋南北朝,魏晋南北朝、秦汉,三國魏,0,0,180,文人,1
21906,董仲舒,,,秦汉,秦汉,西漢,-179,-104,-179,學者,4
24412,李商隱,義山,,隋唐,隋唐,唐,813,858,813,文學家,10
24554,林俊,大用、待用,見素、雲莊,明,明,明,1452,1527,1452,文學家,24
24654,武元衡,伯蒼,,隋唐,隋唐,唐,758,815,758,文學家,20
24677,馬融,,,秦汉,秦汉,東漢,79,166,79,文人,1
25403,諸葛亮,,,魏晋南北朝,魏晋南北朝、秦汉,三國蜀,181,234,181,政治家,2
25793,王羲之,逸少,王右軍,魏晋南北朝,魏晋南北朝,東晉,321,379,321,文化名人,2
27318,蔣琬,,,魏晋南北朝,魏晋南北朝、秦汉,三國蜀,0,245,182,政治家,2
27727,方回,囦甫、淵甫、萬里,紫陽山人、虛谷,元,元、宋,元,1227,1307,1227,文學家,66
27853,程鉅夫,,遠齋、雪樓,元,元、宋,元,1249,1318,1249,文學家,70
27954,揭傒斯,曼碩,,元,元、宋,元,1274,1344,1274,文學家,35
27957,吳師道,正傳,,元,元,元,1283,1344,1283,文學家,71
27965,鄭元祐,明德,尚左生,元,元,元,1292,1364,1292,文學家,35
27998,宋褧,顯夫,,元,元,元,1294,1346,1294,文學家,32
