source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
28426,10815,唱和,向Y致賀,A,元人傳記資料索引,12306,,390
28426,28143,唱和,向Y致賀,A,元人傳記資料索引,4847,,390
28426,10740,唱和,從Y處收到賀詞 (occasion),P,元人傳記資料索引,5049,,391
28426,10389,唱和,為Y作挽詩、詞,A,元人傳記資料索引,6133,,424
28426,27954,唱和,為Y作挽詩、詞,A,元人傳記資料索引,9063,,424
28426,10740,唱和,贈詩、文,A,元人傳記資料索引,9650,,437
28426,10801,唱和,贈詩、文,A,元人傳記資料索引,10550,,437
28426,28143,唱和,贈詩、文,A,元人傳記資料索引,4847,,437
28426,28460,唱和,贈詩、文,A,元人傳記資料索引,6190,,437
28426,27957,唱和,收到Y的贈詩、文,P,元人傳記資料索引,5049,,438
28426,10792,唱和,為Y之建築物題詠、記、命名,A,元人傳記資料索引,13949,,443
28426,10084,唱和,詩文跋由Y所作,P,元人傳記資料索引,5049,,470
28426,10792,唱和,詩文跋由Y所作,P,元人傳記資料索引,5049,,470
28426,10801,唱和,詩文跋由Y所作,P,元人傳記資料索引,5049,,470
28426,28143,唱和,詩文跋由Y所作,P,元人傳記資料索引,5049,,470
28426,10084,唱和,為Y所作詩文作序,A,元人傳記資料索引,5049,,479
28460,10726,唱和,書序由Y所作,P,,,1357,33
28460,10726,唱和,書序由Y所作,P,元人傳記資料索引,6190,,33
28460,12087,唱和,書序由Y所作,P,,,1357,33
28460,12087,唱和,書序由Y所作,P,元人傳記資料索引,6190,,33
28460,10792,唱和,為Y作臨別贈言(送別詩、序),A,元人傳記資料索引,13949,,162
28460,10726,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,6190,1357,163
28460,12087,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,6190,1357,163
28460,27965,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,6190,1357,163
28460,28143,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,6190,1357,163
28460,28410,唱和,臨別得到Y所作贈言(送別詩、序),P,元人傳記資料索引,6190,1357,163
